PNAME,POS,TEAM,YEAR,TYPE,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF
Monta Ellis,SG,mil,2013,34,7.2,17.7,40.6,1.2,4.6,26.1,3.2,4.2,75.9,6,13.1,45.7,1.062,0.44
Brandon Jennings,G,mil,2013,34,6.1,15.7,39.1,2.2,5.9,37.1,3,3.9,78.1,3.9,9.8,40.3,1.115,0.46
Ersan Ilyasova,PF,mil,2013,34,4.8,10,48.2,1.4,3,48,1.5,1.9,79,3.4,7,48.3,1.255,0.55
JJ Redick,SG,mil,2013,34,3.9,10.9,35.5,1.9,5.7,32.5,2.1,2.4,90.9,2,5.1,38.9,1.079,0.44
Mike Dunleavy,SG,mil,2013,34,3.7,8.3,44.5,1.8,4.2,43.7,1.3,1.7,78.1,1.9,4.2,45.3,1.265,0.55
Larry Sanders,PF,mil,2013,34,4.1,8.4,48.5,0,0.1,0,0.9,1.4,61.5,4.1,8.4,48.8,1.076,0.49
John Henson,PF,mil,2013,34,2.9,6.3,46,0,0.1,0,1.3,2,62.5,2.9,6.2,46.7,1.119,0.46
Samuel Dalembert,C,mil,2013,34,2.9,5.4,53.1,0,0,100,0.6,0.9,66.7,2.8,5.4,52.7,1.177,0.53
Beno Udrih,PG,mil,2013,34,2.8,5.7,49.6,0.3,1,30,0.5,0.8,60,2.5,4.7,53.8,1.124,0.52
Luc Mbah a Moute,PF,mil,2013,34,2.5,6.1,40.2,0.2,0.8,30.4,1,1.9,51.8,2.2,5.4,41.6,1,0.42
Gustavo Alfonso Ayon,PF,mil,2013,34,2.5,4,62.5,0,0,0,0,1,0,2.5,4,62.5,1.25,0.63
Tobias Harris,SF,mil,2013,34,1.8,3.9,45.5,0.3,0.8,36.4,1,1.1,87.5,1.5,3.1,47.7,1.236,0.49
Marquis Daniels,SG,mil,2013,34,1.9,5.7,32.6,0.3,1.3,23.1,0.6,0.8,72,1.6,4.4,35.3,0.808,0.35
Doron Lamb,SG,mil,2013,34,1.7,3.9,44.2,0.2,0.5,40,0.5,0.6,85.7,1.5,3.5,44.7,1.07,0.47
Ekpe Udoh,F,mil,2013,34,1.5,3.2,46.3,0,0,0,1.1,1.5,74.1,1.5,3.2,46.7,1.276,0.46
Ish Smith,PG,mil,2013,34,1.7,3.7,45.5,0.4,1,44.4,0,0,0,1.2,2.7,45.8,1.03,0.52
Drew Gooden,PF,mil,2013,34,1.1,3.4,32.3,0,0.2,0,0.6,0.7,83.3,1.1,3.2,34.5,0.806,0.32
Joel Przybilla,C,mil,2013,34,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
Brandon Knight,PG,mil,2014,33,6.8,15.7,43.3,1.7,5.1,34.1,3.6,4.4,82.4,5.1,10.7,47.7,1.207,0.49
Ramon Sessions,G,mil,2014,33,4.2,9.7,42.9,0.6,1.9,32,5.7,6.4,89.2,3.5,7.8,45.5,1.508,0.46
Khris Middleton,SF,mil,2014,33,4.9,10.4,47.2,1.5,3.3,44.4,1.3,1.5,85.7,3.4,7.1,48.5,1.211,0.54
Ersan Ilyasova,PF,mil,2014,33,4.6,11.7,39.4,0.9,2.9,29.5,2.5,3.2,77.9,3.7,8.8,42.6,1.073,0.43
O.J. Mayo,SG,mil,2014,33,4.6,10.5,43.9,1.7,4.3,40.2,1.2,1.3,90.6,2.9,6.3,46.4,1.154,0.52
John Henson,PF,mil,2014,33,5.1,9.6,52.8,0,0,0,1.2,2.6,47.8,5.1,9.5,53,1.185,0.53
Caron Butler,SF,mil,2014,33,4.3,11.3,38.4,1.4,4.7,30.6,1.1,1.3,79.2,2.9,6.6,44.1,0.99,0.45
Gary Neal,PG,mil,2014,33,3.6,8.8,40.9,1.3,3.1,40.4,1.5,1.8,85.2,2.3,5.7,41.2,1.136,0.48
Jeff Adrien,SF,mil,2014,33,3.4,7.5,44.9,0,0,0,2.1,3,69.2,3.4,7.5,44.9,1.173,0.45
Nate Wolters,PG,mil,2014,33,3.1,7.1,44.4,0.3,1.1,30.3,1,1.6,62.2,2.8,5.9,47.1,1.073,0.47
Zaza Pachulia,C,mil,2014,33,2.4,6,39.1,0,0,0,2.4,2.9,84,2.4,6,39.3,1.183,0.39
Chris Wright,SF,mil,2014,33,3.5,5.5,63.6,0,0.3,0,0,1,0,3.5,5.3,66.7,1.273,0.64
Giannis Antetokounmpo,PF,mil,2014,33,2,5.2,38.3,0.3,1.3,25.5,1.8,2.7,67.3,1.7,3.9,42.5,1.181,0.41
Larry Sanders,PF,mil,2014,33,2.6,6.9,37.1,0,0.1,0,0.9,1.6,57.1,2.6,6.8,37.7,0.871,0.37
Luke Ridnour,PG,mil,2014,33,2.4,6.6,36.6,0.5,1.8,29,0.3,0.5,55.6,1.9,4.8,39.5,0.857,0.41
DJ Stephens,G,mil,2014,33,2,5,40,0,0,0,1,1,100,2,5,40,1,0.4
Miroslav Raduljica,C,mil,2014,33,1.7,2.9,59,0,0,0,1,1.2,84.6,1.7,2.9,59,1.541,0.59
Ekpe Udoh,F,mil,2014,33,1.2,3.3,35.7,0,0,0,0.5,1,50,1.2,3.3,35.7,0.871,0.36
Tony Mitchell,SF,mil,2014,33,0.5,1.5,33.3,0,0.5,0,0,0,0,0.5,1,50,0.667,0.33
Brandon Knight,PG,mil,2014,34,6,14.6,41.1,1.3,4.3,30.8,3.6,4.6,78,4.7,10.3,45.4,1.156,0.46
Ramon Sessions,G,mil,2014,34,5.7,11.9,48.3,0.8,2.1,38.7,4.6,5.8,79.3,4.9,9.8,50.3,1.421,0.52
Jeff Adrien,SF,mil,2014,34,5.1,9.1,56.2,0,0,0,2.4,3.7,65.5,5.1,9.1,56.2,1.387,0.56
Khris Middleton,SF,mil,2014,34,4.3,10.4,40.9,1.5,3.8,38.7,1.6,1.8,86.5,2.8,6.7,42.1,1.107,0.48
O.J. Mayo,SG,mil,2014,34,4,10.6,38,1.5,4.5,34.4,1.7,2,83.9,2.5,6.1,40.7,1.064,0.45
John Henson,PF,mil,2014,34,4.8,8.7,54.9,0,0,0,1.4,2.5,55.2,4.8,8.7,54.9,1.257,0.55
Caron Butler,SF,mil,2014,34,3.7,9.4,39.1,1.7,3.9,43.5,1.8,2,87.5,2,5.6,36,1.146,0.48
Gary Neal,PG,mil,2014,34,3.6,9.7,37.2,1.4,4.3,32.8,1.5,1.8,81.5,2.2,5.4,40.7,1.041,0.44
Ersan Ilyasova,PF,mil,2014,34,4,9.4,42.8,0.5,1.9,26.4,1.4,1.6,90.9,3.5,7.5,46.9,1.061,0.45
Larry Sanders,PF,mil,2014,34,3.8,7.1,53,0,0,0,1.3,2.9,43.9,3.8,7.1,53,1.24,0.53
Zaza Pachulia,C,mil,2014,34,3.3,7.2,46.1,0,0,0,1.7,2,85.7,3.3,7.2,46.1,1.156,0.46
Giannis Antetokounmpo,PF,mil,2014,34,2.5,5.6,44,0.7,1.8,40.8,1.8,2.5,69.3,1.8,3.9,45.5,1.32,0.5
Nate Wolters,PG,mil,2014,34,2.7,6.3,42.9,0.3,1,27.6,1.1,1.6,68.9,2.4,5.3,45.8,1.071,0.45
Luke Ridnour,PG,mil,2014,34,2.3,5.6,40.2,0.8,1.9,43.2,0.4,0.5,80,1.4,3.7,38.6,1.028,0.48
Chris Wright,SF,mil,2014,34,1.8,3.3,53.8,0,0,0,1.5,2.8,54.5,1.8,3.3,53.8,1.538,0.54
Tony Mitchell,SF,mil,2014,34,2,2,100,0,0,0,0,0,0,2,2,100,2,1
Ekpe Udoh,F,mil,2014,34,1.5,3.5,43.8,0,0,0,0.9,1.2,76,1.5,3.5,43.8,1.137,0.44
Miroslav Raduljica,C,mil,2014,34,1.2,2.4,49.2,0,0,0,0.9,1.1,79.3,1.2,2.4,49.2,1.338,0.49
DJ Stephens,G,mil,2014,34,0.5,1,50,0,0,0,0,0,0,0.5,1,50,1,0.5
Brandon Knight,PG,mil,2015,33,6.3,14.4,43.6,2,4.6,42.6,3.4,4.1,84.3,4.3,9.8,44.1,1.247,0.5
Khris Middleton,SF,mil,2015,33,5.5,10.8,50.9,1.5,3.4,44.4,2,2.3,87.8,4,7.4,53.9,1.342,0.58
Michael Carter-Williams,PG,mil,2015,33,5.3,11.8,44.8,0.1,1.1,13.3,2.7,3.4,80.9,5.1,10.7,48,1.139,0.45
Giannis Antetokounmpo,PF,mil,2015,33,4.7,9.9,47.2,0,0.5,4.8,3.1,4,78.5,4.6,9.3,49.6,1.261,0.47
O.J. Mayo,SG,mil,2015,33,4.4,10,43.6,1.6,3.9,40.4,1.9,2.1,88.3,2.8,6.1,45.7,1.219,0.52
Ersan Ilyasova,PF,mil,2015,33,4.3,8.8,49.1,1.2,3,40.4,1.4,2.1,65.6,3.1,5.8,53.6,1.275,0.56
Jabari Parker,PF,mil,2015,33,4.7,9.4,50.5,0.2,0.6,28.6,1.5,2.5,63,4.5,8.7,52.1,1.194,0.51
Zaza Pachulia,C,mil,2015,33,3.2,7.3,43.3,0,0,0,1.5,1.8,80.3,3.2,7.3,43.5,1.068,0.43
John Henson,PF,mil,2015,33,3.3,5.6,58.4,0,0,0,1.2,2.2,56.6,3.3,5.6,58.4,1.386,0.58
Larry Sanders,PF,mil,2015,33,3.3,7.5,43.4,0,0,0,0.9,2.1,43.5,3.3,7.5,43.4,0.988,0.43
Jared Dudley,SF,mil,2015,33,2.6,5.8,44.9,1.1,2.7,38.6,0.6,0.8,77.4,1.6,3.1,50.4,1.19,0.54
Jerryd Bayless,G,mil,2015,33,2.5,6.4,39.4,0.3,1.5,22.4,1.5,1.6,93.5,2.2,4.9,44.6,1.072,0.42
Chris Johnson,SG,mil,2015,33,2,4.4,45.5,0.8,2.4,33.3,0,0,0,1.2,2,60,1.091,0.55
Tyler Ennis,G,mil,2015,33,1.8,4.3,41.1,0.4,1.2,31.3,0.2,0.3,75,1.4,3.1,45,0.964,0.46
Kendall Marshall,PG,mil,2015,33,1.5,3.2,48.6,0.7,1.5,47.1,0.3,0.3,100,0.8,1.6,50,1.286,0.6
Miles Plumlee,C,mil,2015,33,1.8,3,59.3,0,0,0,0.1,0.2,50,1.8,3,59.3,1.222,0.59
Jorge Gutierrez,G,mil,2015,33,1.3,2.3,57.1,0,0,0,0.5,0.8,60,1.3,2.3,57.1,1.357,0.57
Johnny O'Bryant III,PF,mil,2015,33,1.1,3.5,30.5,0,0,0,0.2,0.6,30,1.1,3.5,30.5,0.661,0.31
Nate Wolters,PG,mil,2015,33,1,2.7,37.5,0,0.7,0,0,0,0,1,2,50,0.75,0.38
Kenyon Martin,PF,mil,2015,33,0.7,1.3,50,0,0,0,0,0,0,0.7,1.3,50,1,0.5
Brandon Knight,PG,mil,2015,34,6.2,14.3,43.4,2,5.1,39.6,3.1,3.4,92.4,4.1,9.1,45.5,1.231,0.51
Michael Carter-Williams,PG,mil,2015,34,5.3,13,40.6,0.2,1.2,15.4,4.3,5.6,75.8,5.1,11.8,43.1,1.154,0.41
Jabari Parker,PF,mil,2015,34,5.5,11.4,48.1,0.1,0.6,22.2,2.1,2.8,74.4,5.4,10.8,49.7,1.156,0.49
Giannis Antetokounmpo,PF,mil,2015,34,4.8,9.4,51,0.1,0.6,26.1,3.2,4.6,70.4,4.7,8.9,52.6,1.381,0.52
Khris Middleton,SF,mil,2015,34,4.8,11.3,42.6,1.3,3.4,36.8,1.4,1.7,83.3,3.5,7.8,45.1,1.089,0.48
Ersan Ilyasova,PF,mil,2015,34,4.8,10.5,45.4,1.3,3.6,37.5,1,1.6,62.8,3.4,7,49.5,1.13,0.52
O.J. Mayo,SG,mil,2015,34,4,9.7,40.8,1.2,3.9,30.9,1.3,1.8,75.8,2.8,5.9,47.3,1.076,0.47
Zaza Pachulia,C,mil,2015,34,3.4,7.2,47.4,0,0.1,0,2,2.5,77.7,3.4,7.1,47.7,1.222,0.47
Jerryd Bayless,G,mil,2015,34,3.2,7,45.7,0.6,1.6,38.7,1.7,2,84,2.6,5.3,47.8,1.242,0.5
Jared Dudley,SF,mil,2015,34,2.9,5.9,48.8,1,2.6,38.5,0.7,1,66.7,1.9,3.3,56.9,1.261,0.57
Larry Sanders,PF,mil,2015,34,3.1,5.6,56.2,0,0,0,0.9,1.6,56,3.1,5.6,56.2,1.281,0.56
John Henson,PF,mil,2015,34,2.5,4.7,54.4,0,0,0,1.1,1.9,57.4,2.5,4.7,54.4,1.322,0.54
Jorge Gutierrez,G,mil,2015,34,1.8,3.3,53.8,0,0.5,0,1,1.3,80,1.8,2.8,63.6,1.385,0.54
Kendall Marshall,PG,mil,2015,34,1.7,3.9,43.9,0.6,1.7,34.5,0.3,0.4,83.3,1.1,2.2,51.4,1.106,0.52
Tyler Ennis,G,mil,2015,34,1.7,5.6,29.9,0.4,1.8,23.8,0,0.1,0,1.3,3.8,32.6,0.672,0.34
Johnny O'Bryant III,PF,mil,2015,34,1.5,3.6,42.6,0,0,0,0.5,1,52.9,1.5,3.6,42.6,1,0.43
Miles Plumlee,C,mil,2015,34,1.3,3.2,40.6,0,0,0,0.2,0.6,33.3,1.3,3.2,40.6,0.875,0.41
Kenyon Martin,PF,mil,2015,34,1,2.8,35.7,0,0,0,0.4,0.4,100,1,2.8,35.7,0.857,0.36
Nate Wolters,PG,mil,2015,34,1.1,2.9,39.1,0,0.4,0,0.1,0.5,25,1.1,2.5,45,0.826,0.39
Chris Johnson,SG,mil,2015,34,0.7,2.7,25,0.3,2,16.7,0.7,0.7,100,0.3,0.7,50,0.875,0.31
Giannis Antetokounmpo,PF,mil,2016,33,6.8,13.1,51.4,0.4,1.4,24.6,4.2,5.7,73.2,6.4,11.7,54.7,1.373,0.53
Khris Middleton,SF,mil,2016,33,6.1,13.7,44,1.8,4.3,42.2,3.6,4.1,87.5,4.3,9.5,44.9,1.272,0.51
Jabari Parker,PF,mil,2016,33,6.5,12.9,49.9,0.1,0.5,25,2.6,3.4,76.1,6.3,12.4,50.9,1.21,0.5
Greg Monroe,C,mil,2016,33,6,11.5,51.7,0,0,0,3.1,4.1,76,6,11.5,51.8,1.303,0.52
Michael Carter-Williams,PG,mil,2016,33,5,11,45.8,0.3,0.9,30,2.4,3.4,70.5,4.8,10.1,47.2,1.158,0.47
Jerryd Bayless,G,mil,2016,33,3.2,8.2,39.2,1.7,4,41.6,1.6,2,80.4,1.5,4.1,36.9,1.191,0.5
O.J. Mayo,SG,mil,2016,33,2.9,7.3,39,1.5,4,37.6,0.4,0.5,90,1.3,3.3,40.6,1.045,0.49
John Henson,PF,mil,2016,33,2.9,5.4,52.7,0,0,0,0.9,1.9,45.1,2.9,5.4,53.1,1.212,0.53
Tyler Ennis,G,mil,2016,33,2.4,4.7,50.5,0.5,1,47.8,0.6,0.8,72.2,1.9,3.7,51.2,1.229,0.56
Greivis Vasquez,PG,mil,2016,33,1.8,6,29.2,0.8,3,25,1.3,1.6,84.2,1,3,33.3,0.931,0.35
Miles Plumlee,C,mil,2016,33,2.6,4.2,62,0,0,0,0.4,0.9,42.9,2.6,4.2,62,1.333,0.62
Jared Cunningham,G,mil,2016,33,0,1,0,0,1,0,4,4,100,0,0,0,4,0
Rashad Vaughn,G,mil,2016,33,1.2,4,29.3,0.5,2.1,25.3,0.1,0.1,75,0.6,1.8,33.8,0.741,0.36
Chris Copeland,SF,mil,2016,33,1,2.6,38.5,0.6,1.8,33.3,0.1,0.1,100,0.4,0.8,50,1.038,0.5
Johnny O'Bryant III,PF,mil,2016,33,1.2,2.9,40.2,0,0,100,0.3,0.5,66.7,1.1,2.8,39.6,0.924,0.41
Damien Inglis,SF,mil,2016,33,0.8,2,42.3,0.2,0.8,30,0.4,0.5,83.3,0.6,1.2,50,1.154,0.48
Steve Novak,SF,mil,2016,33,0.5,1.5,33.3,0.5,1.5,33.3,0.5,0.5,100,0,0,0,1.333,0.5
Khris Middleton,SF,mil,2016,34,6.8,15.2,44.7,1.8,4.9,37.4,3.4,3.8,90.1,5,10.3,48.2,1.241,0.51
Giannis Antetokounmpo,PF,mil,2016,34,6.1,12.2,49.8,0.4,1.3,26.9,3.2,4.5,71.3,5.7,10.9,52.5,1.289,0.51
Greg Monroe,C,mil,2016,34,6.5,12.3,52.7,0,0,0,2.7,3.7,71.6,6.5,12.3,52.7,1.269,0.53
Jabari Parker,PF,mil,2016,34,5.2,10.6,48.5,0.1,0.4,26.7,2,2.5,77.7,5.1,10.2,49.3,1.165,0.49
Jerryd Bayless,G,mil,2016,34,3.9,8.6,45.1,2.2,4.8,45.4,1.1,1.4,74.4,1.7,3.8,44.7,1.279,0.58
Michael Carter-Williams,PG,mil,2016,34,4.4,9.7,44.7,0.3,1.1,25.7,1.6,2.7,60.7,4.1,8.6,47.2,1.093,0.46
O.J. Mayo,SG,mil,2016,34,3,8.4,35.3,1,3.9,26,1.1,1.5,73.3,2,4.5,43.3,0.958,0.41
John Henson,PF,mil,2016,34,2.9,4.8,60,0,0,0,1.5,2.2,69.7,2.9,4.8,60,1.517,0.6
Greivis Vasquez,PG,mil,2016,34,2.2,6,36.4,0.8,3.4,24.3,0.5,0.6,85.7,1.4,2.6,51.7,0.955,0.43
Miles Plumlee,C,mil,2016,34,2,3.5,57.7,0,0,0,0.7,1,71,2,3.5,57.7,1.365,0.58
Jared Cunningham,G,mil,2016,34,1.3,4.3,30.8,0.7,2,33.3,0.7,1,66.7,0.7,2.3,28.6,0.923,0.38
Johnny O'Bryant III,PF,mil,2016,34,1.4,3.4,41.9,0,0,0,0.5,0.7,68,1.4,3.4,41.9,0.983,0.42
Rashad Vaughn,G,mil,2016,34,1.2,3.6,31.9,0.7,2.1,33.8,0.3,0.3,81.8,0.5,1.5,29.4,0.908,0.42
Tyler Ennis,G,mil,2016,34,1.3,3.4,37.2,0.1,0.7,12.5,0.5,0.7,75,1.2,2.7,43.5,0.923,0.38
Steve Novak,SF,mil,2016,34,1,3,33.3,1,3,33.3,0,0,0,0,0,0,1,0.5
Chris Copeland,SF,mil,2016,34,0.5,1.8,28,0.3,1.3,22.2,0.4,0.4,83.3,0.2,0.5,42.9,0.92,0.36
Damien Inglis,SF,mil,2016,34,0.3,1.6,18.2,0,0.4,0,0.3,0.3,100,0.3,1.1,25,0.545,0.18
Giannis Antetokounmpo,PF,mil,2017,33,8.6,15.9,53.9,0.6,2.2,27.9,6.4,8.1,79.1,8,13.7,57.9,1.52,0.56
Jabari Parker,PF,mil,2017,33,8.2,17.1,48.2,1.6,3.9,40.2,3.5,4.9,71.1,6.7,13.2,50.6,1.261,0.53
Khris Middleton,SF,mil,2017,33,4.9,11.1,44.1,1.6,3.9,41.3,2.8,3.1,88,3.3,7.1,45.6,1.277,0.51
Greg Monroe,C,mil,2017,33,4.9,9.4,51.4,0,0,0,2.5,3.2,76.7,4.9,9.4,51.6,1.292,0.51
Michael Beasley,F,mil,2017,33,4.3,7.3,58.6,0.4,0.7,52.6,1.4,1.9,75,3.9,6.6,59.2,1.414,0.61
Malcolm Brogdon,PG,mil,2017,33,3.6,8.2,43.9,0.9,2.4,37.8,1.8,1.9,90.3,2.7,5.8,46.5,1.203,0.5
Tony Snell,SF,mil,2017,33,3.2,7,45.3,1.8,4.4,40.7,0.7,0.8,86.7,1.4,2.5,53.5,1.259,0.58
Matthew Dellavedova,PG,mil,2017,33,3.1,7.3,42.6,0.9,2.8,34.3,1.3,1.4,89.1,2.2,4.5,47.7,1.155,0.49
John Henson,PF,mil,2017,33,2.5,5,50,0,0,0,1.5,2.2,67.2,2.5,5,50.4,1.293,0.5
Mirza Teletovic,PF,mil,2017,33,1.8,5.4,32.4,1.2,4,31.1,0.4,0.6,68.4,0.5,1.4,36.2,0.95,0.44
Jason Terry,G,mil,2017,33,1.6,3.4,47.7,1.1,2.4,46.7,0.4,0.5,77.8,0.5,0.9,50,1.398,0.64
Thon Maker,C,mil,2017,33,1.8,3.9,45.3,0.5,1.5,33.3,0.4,0.5,72.7,1.3,2.4,52.8,1.128,0.52
Rashad Vaughn,G,mil,2017,33,1.5,3.5,43.3,0.7,1.9,37.5,0,0,0,0.8,1.6,50,1.067,0.53
Miles Plumlee,C,mil,2017,33,1.1,2.1,50,0,0,0,1,1.4,73.7,1.1,2.1,50,1.467,0.5
Spencer Hawes,PF,mil,2017,33,1,2.2,45,0.3,1,33.3,0.4,0.6,80,0.7,1.2,54.5,1.25,0.53
Gary Payton II,PG,mil,2017,33,1,1.5,66.7,0.5,1,50,0,0,0,0.5,0.5,100,1.667,0.83
Steve Novak,SF,mil,2017,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Terrence Jones,PF,mil,2017,33,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Axel Toupane,SG,mil,2017,33,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,PF,mil,2017,34,7.9,15.6,50.3,0.6,2.4,26.6,5.4,7.2,74.6,7.2,13.3,54.5,1.389,0.52
Jabari Parker,PF,mil,2017,34,7.4,14.8,50,1,3,31.6,2.8,3.6,78.9,6.4,11.8,54.8,1.257,0.53
Khris Middleton,SF,mil,2017,34,5.5,12,46.2,1.5,3.2,46.3,2.8,3.2,88.1,4.1,8.8,46.1,1.282,0.52
Greg Monroe,C,mil,2017,34,4.7,8.5,55.6,0,0.1,0,1.9,2.7,70.8,4.7,8.4,56.1,1.334,0.56
Malcolm Brogdon,PG,mil,2017,34,4.1,8.7,47.3,1.2,2.7,42.7,1.2,1.4,81.5,2.9,6,49.3,1.212,0.54
Michael Beasley,F,mil,2017,34,3.5,7.3,47.8,0.3,0.9,33.3,1.4,1.9,73.6,3.2,6.4,49.7,1.187,0.5
Tony Snell,SF,mil,2017,34,3,6.6,45.6,1.8,4.5,40.4,0.5,0.7,75,1.2,2.1,56.5,1.266,0.59
Mirza Teletovic,PF,mil,2017,34,2.6,6.5,41,1.7,4.7,36.4,0.6,0.7,84.6,0.9,1.8,53,1.176,0.54
John Henson,PF,mil,2017,34,3,5.6,52.7,0,0,0,1.1,1.5,71.7,3,5.6,52.7,1.249,0.53
Matthew Dellavedova,PG,mil,2017,34,2.4,6.8,34.8,1.1,2.9,38.9,0.9,1.1,80.5,1.2,3.8,31.7,0.996,0.43
Spencer Hawes,PF,mil,2017,34,2.1,3.9,53.8,0.6,1.7,35.3,1,1.3,76.9,1.5,2.2,68.2,1.487,0.62
Gary Payton II,PG,mil,2017,34,1.5,4.8,31.6,0,1.8,0,0.8,1.3,60,1.5,3,50,0.789,0.32
Thon Maker,C,mil,2017,34,1.3,2.7,46.3,0.5,1.2,41.5,0.7,1.1,63.2,0.8,1.5,50,1.358,0.55
Jason Terry,G,mil,2017,34,1.2,3.2,38.3,0.8,2.2,38,0.3,0.3,90.9,0.4,1,38.9,1.113,0.51
Rashad Vaughn,G,mil,2017,34,1.3,4,32.3,0.6,2,28.6,0.1,0.2,40,0.7,2,36.2,0.813,0.4
Miles Plumlee,C,mil,2017,34,0.8,2.1,39.5,0,0,0,0.4,0.9,50,0.8,2.1,39.5,1,0.39
Steve Novak,SF,mil,2017,34,0.4,0.8,50,0.2,0.6,33.3,0,0,0,0.2,0.2,100,1.25,0.63
Terrence Jones,PF,mil,2017,34,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Giannis Antetokounmpo,PF,mil,2018,33,10,18.6,53.7,0.7,2.1,32.5,7.1,9.1,77.2,9.3,16.4,56.5,1.492,0.56
Khris Middleton,SF,mil,2018,33,7.3,15.2,48.1,1.7,4.7,35.4,3.8,4.2,90.2,5.6,10.5,53.7,1.323,0.54
Eric Bledsoe,PG,mil,2018,33,5.9,12.8,46,1.5,4.5,34,3.8,4.8,80.1,4.4,8.3,52.5,1.336,0.52
Jabari Parker,PF,mil,2018,33,5.4,11.1,48.5,1.1,2.7,39,1.3,1.9,69,4.3,8.4,51.6,1.186,0.53
Malcolm Brogdon,PG,mil,2018,33,4.7,10,47.2,1.2,3.2,36.7,2.2,2.4,88.5,3.6,6.8,52,1.276,0.53
Shabazz Muhammad,F,mil,2018,33,3.3,6.5,51.3,0.2,0.8,20,2.3,2.5,93.3,3.2,5.7,55.9,1.41,0.53
John Henson,PF,mil,2018,33,3.8,6.3,60.3,0,0,0,1.2,2.1,56.3,3.8,6.3,60.6,1.389,0.6
Mirza Teletovic,PF,mil,2018,33,2.6,6.4,40.6,2.4,5.6,42.9,0,0,0,0.2,0.8,25,1.188,0.59
Tony Snell,SF,mil,2018,33,2.3,5.7,40.8,1.4,3.5,38.5,0.7,0.9,77.1,1,2.2,44.4,1.18,0.53
Tyler Zeller,C,mil,2018,33,3,4.8,62.1,0,0,0,0.3,0.3,100,3,4.8,62.1,1.293,0.62
Greg Monroe,C,mil,2018,33,3,7,42.9,0,0,0,0,0,0,3,7,42.9,0.857,0.43
Matthew Dellavedova,PG,mil,2018,33,1.7,4.3,40,1,2.4,40.4,0.5,0.6,83.3,0.8,1.9,39.5,1.141,0.51
Thon Maker,C,mil,2018,33,1.7,3.9,44.1,0.4,1.3,28.6,0.7,1.1,66.7,1.4,2.6,52.1,1.159,0.49
Rashad Vaughn,G,mil,2018,33,1.5,4,37.5,0.9,2.8,31.8,0.5,0.8,66.7,0.6,1.3,50,1.094,0.48
Sterling Brown,SG,mil,2018,33,1.6,3.6,43.1,0.6,1.8,34.7,0.4,0.5,84.6,1,1.9,50.9,1.137,0.51
Brandon Jennings,G,mil,2018,33,1.3,3.3,38.5,0.8,2.3,33.3,0,0,0,0.5,1,50,1,0.5
Gary Payton II,PG,mil,2018,33,1.4,2.8,50,0.2,1,20,0,0,0,1.2,1.8,66.7,1.071,0.54
Jason Terry,G,mil,2018,33,0.8,3.2,25.4,0.6,2.5,25.9,0.1,0.1,100,0.2,0.8,23.5,0.732,0.35
DeAndre Liggins,G,mil,2018,33,0.7,1.9,37.1,0.4,1,38.9,0.1,0.2,33.3,0.3,0.9,35.3,0.971,0.47
Sean Kilpatrick,G,mil,2018,33,0.6,1.6,37.5,0.2,0.8,25,0.1,0.1,100,0.4,0.8,50,0.938,0.44
Marshall Plumlee,C,mil,2018,33,0,0,0,0,0,0,1.3,2,66.7,0,0,0,0,0
D.J. Wilson,PF,mil,2018,33,0.4,0.8,57.1,0.1,0.2,50,0,0,0,0.3,0.6,60,1.286,0.64
Xavier Munford,G,mil,2018,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giannis Antetokounmpo,PF,mil,2018,34,9.8,18.8,52.1,0.4,1.6,28.1,5.9,7.9,74.4,9.4,17.3,54.3,1.378,0.53
Khris Middleton,SF,mil,2018,34,7.2,15.9,45.2,1.9,5.2,36.3,4,4.6,86.7,5.3,10.6,49.7,1.275,0.51
Eric Bledsoe,PG,mil,2018,34,6.9,13.9,49.2,1.9,5.3,35.7,3,3.8,78.8,5,8.7,57.4,1.332,0.56
Malcolm Brogdon,PG,mil,2018,34,5.5,11,49.8,1.4,3.6,40.2,0.9,1,87.5,4,7.4,54.4,1.209,0.56
Jabari Parker,PF,mil,2018,34,4.9,10.3,47.9,0.9,2.5,37.5,1.3,1.6,80,4,7.8,51.2,1.17,0.52
Greg Monroe,C,mil,2018,34,4,5,80,0,0,0,2,4,50,4,5,80,2,0.8
John Henson,PF,mil,2018,34,3.7,6.9,54.1,0,0.2,16.7,1.2,2.1,57.7,3.7,6.7,55,1.263,0.54
Shabazz Muhammad,F,mil,2018,34,3.4,5.6,60.7,0.4,0.6,66.7,0.6,0.8,75,3,5,60,1.393,0.64
Tony Snell,SF,mil,2018,34,2.6,5.6,46.3,1.5,3.6,42,0.3,0.3,84.6,1.1,2,53.9,1.248,0.6
Mirza Teletovic,PF,mil,2018,34,2.4,5,48,1.8,3.4,52.9,0,0,0,0.6,1.6,37.5,1.32,0.66
